LON,HEL,2018-09-15,109.39
LON,HEL,2018-10-15,109.39
LON,HEL,2018-11-15,109.39
LON,HEL,2018-12-15,109.39
HEL,LON,2018-01-15,72.12
HEL,LON,2018-02-15,72.12
HEL,LON,2018-03-15,72.12
HEL,LON,2018-04-15,72.12
HEL,LON,2018-05-15,72.12
HEL,LON,2018-06-15,72.12
HEL,LON,2018-07-15,72.12
HEL,LON,2018-08-15,72.12
HEL,LON,2018-09-15,72.12
HEL,LON,2018-10-15,72.12
HEL,LON,2018-11-15,72.12
HEL,LON,2018-12-15,72.12
HEL,PEK,2018-01-15,331.24
HEL,PEK,2018-02-15,331.24
HEL,PEK,2018-03-15,331.24
HEL,PEK,2018-04-15,331.24
HEL,PEK,2018-05-15,331.24
HEL,PEK,2018-06-15,331.24
HEL,PEK,2018-07-15,331.24
HEL,PEK,2018-08-15,331.24
HEL,PEK,2018-09-15,331.24
HEL,PEK,2018-10-15,331.24
HEL,PEK,2018-11-15,331.24
HEL,PEK,2018-12-15,331.24
HEL,BER,2018-01-15,66.30
HEL,BER,2018-02-15,66.30
HEL,BER,2018-03-15,66.30
HEL,BER,2018-04-15,66.30
HEL,BER,2018-05-15,66.30
HEL,BER,2018-06-15,66.30
HEL,BER,2018-07-15,66.30
HEL,BER,2018-08-15,66.30
HEL,BER,2018-09-15,66.30
HEL,BER,2018-10-15,66.30
HEL,BER,2018-11-15,66.30
HEL,BER,2018-12-15,66.30
HEL,CDG,2018-01-15,95.29
HEL,CDG,2018-02-15,95.29
HEL,CDG,2018-03-15,95.29
HEL,CDG,2018-04-15,95.29
HEL,CDG,2018-05-15,95.29
HEL,CDG,2018-06-15,95.29
HEL,CDG,2018-07-15,95.29
HEL,CDG,2018-08-15,95.29
HEL,CDG,2018-09-15,95.29
HEL,CDG,2018-10-15,95.29
HEL,CDG,2018-11-15,95.29
HEL,CDG,2018-12-15,95.29
CDG,LON,2018-01-15,52.96
CDG,LON,2018-02-15,52.96
CDG,LON,2018-03-15,52.96
CDG,LON,2018-04-15,52.96
CDG,LON,2018-05-15,52.96
CDG,LON,2018-06-15,52.96
CDG,LON,2018-07-15,52.96
CDG,LON,2018-08-15,52.96
CDG,LON,2018-09-15,52.96
CDG,LON,2018-10-15,52.96
CDG,LON,2018-11-15,52.96
CDG,LON,2018-12-15,52.96
CDG,PEK,2018-01-15,336.05
CDG,PEK,2018-02-15,336.05
CDG,PEK,2018-03-15,336.05
CDG,PEK,2018-04-15,336.05
CDG,PEK,2018-05-15,336.05
CDG,PEK,2018-06-15,336.05
CDG,PEK,2018-07-15,336.05
CDG,PEK,2018-08-15,336.05
CDG,PEK,2018-09-15,336.05
CDG,PEK,2018-10-15,336.05
CDG,PEK,2018-11-15,336.05
CDG,PEK,2018-12-15,336.05
CDG,BER,2018-01-15,131.53
CDG,BER,2018-02-15,131.53
CDG,BER,2018-03-15,131.53
CDG,BER,2018-04-15,131.53
CDG,BER,2018-05-15,131.53
CDG,BER,2018-06-15,131.53
CDG,BER,2018-07-15,131.53
CDG,BER,2018-08-15,131.53
CDG,BER,2018-09-15,131.53
CDG,BER,2018-10-15,131.53
CDG,BER,2018-11-15,131.53
CDG,BER,2018-12-15,131.53
CDG,HEL,2018-01-15,109.24
CDG,HEL,2018-02-15,109.24
CDG,HEL,2018-03-15,109.24
CDG,HEL,2018-04-15,109.24
CDG,HEL,2018-05-15,109.24
CDG,HEL,2018-06-15,109.24
CDG,HEL,2018-07-15,109.24
CDG,HEL,2018-08-15,109.24
CDG,HEL,2018-09-15,109.24
CDG,HEL,2018-10-15,109.24
CDG,HEL,2018-11-15,109.24
CDG,HEL,2018-12-15,109.24
